Gene Symbol	Gene ID	Median (Tumor)	Median (Normal)	Log2(Fold Change)	adjp
DDIT4L	ENSG00000145358.6	0.455	2.870	-1.411	2.37e-20
DDN	ENSG00000181418.7	4.175	145.562	-4.824	4.63e-124
DDO	ENSG00000203797.9	4.930	1.820	1.072	4.00e-92
DDR1	ENSG00000204580.11	436.261	48.180	3.152	8.27e-251
DDR2	ENSG00000162733.16	7.215	2.850	1.093	2.17e-29
DDX18	ENSG00000088205.12	27.440	9.520	1.435	1.50e-139
DDX19B	ENSG00000157349.15	25.020	8.090	1.517	3.65e-197
DDX21	ENSG00000165732.12	16.420	4.790	1.589	4.64e-132
DDX23	ENSG00000174243.9	57.094	24.550	1.185	2.55e-126
DDX28	ENSG00000182810.6	9.390	4.090	1.029	4.94e-165
DDX31	ENSG00000125485.17	9.145	3.190	1.276	6.26e-172
DDX39A	ENSG00000123136.14	53.565	16.690	1.625	5.19e-145
DDX39B	ENSG00000198563.13	272.176	118.028	1.199	1.52e-131
DDX3X	ENSG00000215301.9	78.498	33.201	1.217	3.59e-92
DDX46	ENSG00000145833.15	21.025	9.980	1.004	2.52e-78
DDX5	ENSG00000108654.11	342.758	165.581	1.045	2.47e-75
DDX52	ENSG00000278053.4	10.515	3.060	1.504	6.19e-169
DDX59	ENSG00000118197.13	14.395	5.580	1.226	4.62e-153
DDX6	ENSG00000110367.11	42.410	16.300	1.327	1.40e-138
DDX60	ENSG00000137628.16	5.155	1.390	1.365	1.11e-84
DECR1	ENSG00000104325.6	99.115	39.121	1.319	2.72e-154
DEDD2	ENSG00000160570.13	9.270	23.610	-1.261	9.04e-53
DEF6	ENSG00000023892.10	5.650	2.170	1.069	1.72e-44
DEFA1	ENSG00000206047.2	0.100	1.640	-1.263	1.38e-52
DEFA1B	ENSG00000240247.6	0.000	1.260	-1.176	4.11e-47
DEGS1	ENSG00000143753.12	60.457	24.309	1.280	3.41e-146
DEK	ENSG00000124795.14	37.194	12.590	1.491	8.55e-133
DENND2A	ENSG00000146966.12	28.129	9.800	1.431	2.18e-94
DENND3	ENSG00000105339.10	11.185	30.581	-1.374	4.23e-57
DENND4C	ENSG00000137145.20	11.575	4.090	1.305	2.10e-83
DENND5A	ENSG00000184014.7	182.594	62.560	1.530	3.46e-139
DERA	ENSG00000023697.12	30.915	6.720	2.048	1.91e-227
DERL1	ENSG00000136986.9	29.030	9.320	1.541	1.48e-154
DERL2	ENSG00000072849.10	32.335	12.220	1.334	6.86e-148
DES	ENSG00000175084.11	0.305	4.790	-2.150	2.11e-70
DESI2	ENSG00000121644.18	9.520	3.330	1.281	1.45e-123
DFNA5	ENSG00000105928.13	42.885	12.500	1.701	3.49e-164
DGCR2	ENSG00000070413.18	91.486	42.349	1.093	2.80e-96
DGCR5	ENSG00000237517.8	7.395	26.009	-1.686	5.47e-77
DGCR9	ENSG00000273032.1	3.780	9.160	-1.088	8.53e-28
DGKE	ENSG00000153933.9	0.820	4.330	-1.550	3.76e-100
DGKZ	ENSG00000149091.15	43.179	237.304	-2.431	1.45e-122
DHFR	ENSG00000228716.6	20.564	7.050	1.422	5.53e-104
DHFRL1	ENSG00000178700.7	6.815	2.030	1.367	2.37e-169
DHFRP1	ENSG00000188985.6	3.550	0.450	1.650	1.30e-77
DHODH	ENSG00000102967.11	8.175	3.210	1.124	2.10e-148
DHRS11	ENSG00000278535.4	10.370	27.370	-1.319	3.85e-80
DHRS3	ENSG00000162496.8	38.481	15.300	1.276	2.01e-51
DHRS4	ENSG00000157326.18	33.690	13.950	1.214	1.95e-79
DHRS9	ENSG00000073737.16	5.180	0.680	1.879	6.13e-68
DHRSX	ENSG00000169084.12	15.120	3.890	1.721	1.13e-169
DHTKD1	ENSG00000181192.11	18.415	4.620	1.789	1.46e-165
DHX40	ENSG00000108406.9	30.005	8.290	1.739	3.01e-170
DHX9	ENSG00000135829.16	100.642	42.340	1.230	5.02e-163
DIABLO	ENSG00000184047.15	86.774	34.709	1.297	1.10e-171
DIAPH2	ENSG00000147202.17	3.760	0.970	1.273	1.02e-131
DIMT1	ENSG00000086189.9	25.811	10.030	1.281	7.53e-156
DIO3OS	ENSG00000258498.6	1.325	4.410	-1.218	9.81e-78
DIP2B	ENSG00000066084.12	21.385	7.410	1.412	1.35e-95
DIRAS1	ENSG00000176490.4	20.639	73.899	-1.791	1.95e-57
DIRAS2	ENSG00000165023.5	9.140	37.809	-1.936	1.57e-46
DIRC2	ENSG00000138463.8	11.695	4.360	1.244	1.04e-127
DIS3	ENSG00000083520.14	11.925	5.100	1.083	7.25e-81
DISC1	ENSG00000162946.20	4.760	1.290	1.331	1.57e-93
DISP1	ENSG00000154309.8	3.940	1.000	1.305	1.33e-133
DKC1	ENSG00000130826.15	27.940	11.000	1.270	1.79e-146
DKFZp434P228	ENSG00000279232.1	2.715	0.170	1.667	4.72e-55
DLEU1	ENSG00000176124.11	6.705	1.490	1.630	5.50e-162
DLEU1_1	ENSG00000276089.1	3.800	0.000	2.263	1.66e-42
DLEU7	ENSG00000186047.9	1.850	4.990	-1.072	1.87e-46
DLG2	ENSG00000150672.16	10.945	35.839	-1.625	1.01e-55
DLG4	ENSG00000132535.18	57.749	200.310	-1.777	4.61e-80
DLG5	ENSG00000151208.16	34.689	8.790	1.866	7.73e-129
DLGAP1-AS3	ENSG00000263724.1	0.050	1.340	-1.156	5.08e-185
DLGAP1-AS4	ENSG00000263878.1	0.390	10.020	-2.987	1.90e-138
DLGAP2	ENSG00000198010.11	0.470	5.410	-2.125	7.83e-127
DLGAP3	ENSG00000116544.11	5.315	39.560	-2.683	2.96e-94
DLK2	ENSG00000171462.14	1.805	5.970	-1.313	1.94e-54
DLL1	ENSG00000198719.8	34.265	4.780	2.609	4.93e-117
DLL3	ENSG00000090932.10	128.733	3.860	4.738	4.83e-150
DLX1	ENSG00000144355.14	1.190	8.200	-2.071	1.24e-57
DLX6-AS1	ENSG00000231764.8	0.510	2.950	-1.387	4.02e-33
DMKN	ENSG00000161249.20	3.085	16.829	-2.126	4.27e-78
DMRTC1B	ENSG00000184911.14	8.300	19.329	-1.128	2.50e-47
DMTN	ENSG00000158856.17	21.195	273.822	-3.630	2.72e-107
DNAAF1	ENSG00000154099.17	1.530	7.210	-1.698	1.98e-72
DNAAF5	ENSG00000164818.15	12.860	5.280	1.142	1.11e-112
DNAH1	ENSG00000114841.17	4.120	9.280	-1.006	6.55e-56
DNAJA4	ENSG00000140403.12	8.640	55.479	-2.551	5.79e-110
DNAJB5	ENSG00000137094.14	36.940	11.560	1.595	3.64e-147
DNAJC1	ENSG00000136770.10	10.295	4.150	1.133	3.99e-111
DNAJC17	ENSG00000104129.9	23.530	10.590	1.082	1.91e-134
DNAJC3	ENSG00000102580.14	11.530	4.180	1.274	2.86e-132
DNAJC5G	ENSG00000163793.12	0.040	2.900	-1.907	6.82e-205
DNAJC9-AS1	ENSG00000236756.4	0.345	2.600	-1.420	9.43e-19
DNALI1	ENSG00000163879.10	20.095	9.300	1.034	6.47e-51
DNASE2	ENSG00000105612.8	43.459	9.830	2.037	1.89e-225
DNER	ENSG00000187957.7	191.161	33.201	2.490	5.67e-193
DNM1	ENSG00000106976.18	30.805	359.736	-3.504	2.55e-86
DNM2	ENSG00000079805.16	62.169	30.080	1.023	2.90e-102
DNMBP	ENSG00000107554.15	8.595	2.340	1.522	4.84e-148
DNTTIP1	ENSG00000101457.12	34.015	15.460	1.089	1.06e-158
DOC2A	ENSG00000149927.17	5.115	98.400	-4.023	3.70e-118
DOC2B	ENSG00000272636.3	2.630	12.910	-1.938	7.01e-80
DOCK10	ENSG00000135905.18	37.491	8.660	1.994	4.56e-116
DOCK11	ENSG00000147251.15	6.755	2.520	1.140	1.02e-100
DOCK2	ENSG00000134516.15	5.480	0.940	1.740	1.74e-88
DOCK3	ENSG00000088538.12	7.710	19.779	-1.254	8.74e-44
DOCK8	ENSG00000107099.15	4.175	0.720	1.589	2.11e-88
DOCK9-AS2	ENSG00000260992.1	0.660	2.360	-1.017	1.92e-94
DOK1	ENSG00000115325.13	12.490	3.070	1.729	5.27e-152
DOK6	ENSG00000206052.10	3.135	7.600	-1.056	6.50e-27
DOLK	ENSG00000175283.7	17.345	4.700	1.686	2.10e-237
DOLPP1	ENSG00000167130.17	18.040	8.100	1.065	4.99e-135
DPF2	ENSG00000133884.9	62.249	22.890	1.405	3.12e-168
DPF3	ENSG00000205683.11	5.825	2.250	1.070	2.84e-66
DPH5	ENSG00000117543.19	28.315	9.900	1.427	5.13e-171
DPH6	ENSG00000134146.11	8.590	2.490	1.458	4.23e-157
DPP10-AS1	ENSG00000235026.5	2.230	16.110	-2.405	6.24e-106
DPP3	ENSG00000254986.7	25.950	8.880	1.448	5.57e-168
DPY19L2	ENSG00000177990.11	2.585	6.420	-1.049	2.15e-34
DPY19L2P1	ENSG00000189212.12	0.350	4.820	-2.108	1.99e-139
DPY19L3	ENSG00000178904.18	20.435	6.210	1.572	2.45e-136
DPY19L4	ENSG00000156162.16	13.080	3.860	1.535	7.65e-161
DPYS	ENSG00000147647.12	0.500	2.490	-1.218	2.33e-99
DPYSL3	ENSG00000113657.12	242.207	25.419	3.203	1.55e-255
DR1	ENSG00000117505.12	15.905	6.740	1.127	1.70e-68
DRAM1	ENSG00000136048.13	6.640	2.260	1.229	5.27e-102
DRAM2	ENSG00000156171.14	34.999	11.570	1.518	8.20e-142
DRD1	ENSG00000184845.3	0.320	2.770	-1.514	7.84e-67
DRGX	ENSG00000165606.8	0.040	1.100	-1.014	2.05e-109
DRP2	ENSG00000102385.12	4.810	11.020	-1.049	1.29e-31
DSCAM	ENSG00000171587.14	12.110	4.080	1.368	6.25e-57
DSCAML1	ENSG00000177103.13	12.600	4.080	1.421	1.89e-47
DSEL	ENSG00000171451.13	8.095	1.370	1.940	1.47e-141
DTD1	ENSG00000125821.11	64.569	28.381	1.158	1.34e-136
DTD2	ENSG00000129480.12	16.510	5.650	1.397	1.26e-151
DTL	ENSG00000143476.17	1.510	0.090	1.203	8.09e-63
DTNB	ENSG00000138101.18	14.810	41.160	-1.415	2.68e-90
DTX3L	ENSG00000163840.9	5.980	1.410	1.534	7.68e-96
DTYMK	ENSG00000168393.12	25.054	8.740	1.420	4.99e-139
DUS3L	ENSG00000141994.15	25.595	12.260	1.004	7.30e-81
DUS4L	ENSG00000105865.10	7.605	3.250	1.018	4.03e-113
DUSP16	ENSG00000111266.8	10.860	4.680	1.062	4.01e-89
DUSP2	ENSG00000158050.4	1.610	8.070	-1.797	9.13e-75
DUSP8	ENSG00000184545.10	8.540	31.600	-1.773	4.57e-91
DYNC1I1	ENSG00000158560.14	9.915	43.640	-2.032	3.64e-50
DYNC1I2	ENSG00000077380.15	96.265	47.320	1.009	1.97e-102
DYNLT1	ENSG00000146425.10	134.572	25.189	2.372	4.15e-208
DYNLT3	ENSG00000165169.10	6.930	31.081	-2.016	5.12e-72
DYRK2	ENSG00000127334.10	4.365	1.360	1.185	3.86e-118
DYX1C1	ENSG00000256061.7	3.265	1.130	1.002	7.52e-87
E2F5	ENSG00000133740.10	13.810	2.600	2.040	9.05e-192
E2F6	ENSG00000169016.16	11.265	4.910	1.053	3.66e-133
EBF4	ENSG00000088881.20	39.170	11.670	1.665	1.52e-114
EBI3	ENSG00000105246.5	5.955	0.670	2.058	2.03e-115
EBLN3	ENSG00000281649.1	22.065	9.120	1.188	1.55e-81
EBPL	ENSG00000123179.13	28.325	13.610	1.005	6.69e-100
ECH1	ENSG00000104823.8	179.084	76.659	1.213	1.10e-133
ECHDC2	ENSG00000121310.16	9.830	43.410	-2.036	7.82e-80
ECI1	ENSG00000167969.12	67.006	30.311	1.119	2.32e-125
ECI2	ENSG00000198721.12	64.460	25.810	1.288	1.89e-137
ECM2	ENSG00000106823.12	4.630	0.760	1.678	5.48e-66
EDEM2	ENSG00000088298.12	12.230	4.500	1.266	1.27e-160
EDNRA	ENSG00000151617.15	5.595	0.850	1.834	6.48e-92
EDNRB	ENSG00000136160.14	94.179	9.660	3.158	7.28e-129
EEA1	ENSG00000102189.16	5.650	2.180	1.064	4.30e-87
EEF1A1	ENSG00000156508.17	6447.615	1283.350	2.328	9.78e-190
EEF1A1P11	ENSG00000228502.1	1.450	0.160	1.079	3.11e-87
EEF1A1P12	ENSG00000214199.3	1.870	0.050	1.451	3.52e-156
EEF1A1P13	ENSG00000250182.3	3.030	0.420	1.505	7.04e-149
EEF1A1P19	ENSG00000249855.1	1.705	0.300	1.057	4.49e-138
EEF1A1P5	ENSG00000196205.8	172.009	18.850	3.124	9.83e-193
EEF1A1P6	ENSG00000233476.3	29.670	2.330	3.203	1.86e-280
EEF1A1P9	ENSG00000249264.1	2.035	0.040	1.545	8.95e-200
EEF1A2	ENSG00000101210.10	69.850	480.501	-2.765	2.22e-69
EEF1B2	ENSG00000114942.13	434.209	189.413	1.193	2.76e-102
EEF1D	ENSG00000104529.17	594.712	157.160	1.913	1.95e-161
EEF1G	ENSG00000254772.9	1421.008	306.214	2.211	5.23e-189
EEF2	ENSG00000167658.15	1093.092	503.866	1.116	1.89e-89
EEF2KMT	ENSG00000118894.14	10.130	3.330	1.362	2.96e-202
EEFSEC	ENSG00000132394.10	18.120	7.600	1.153	4.46e-159
EEPD1	ENSG00000122547.10	61.127	7.820	2.816	2.14e-131
EFCAB11	ENSG00000140025.15	7.010	2.850	1.057	3.02e-102
EFCAB14	ENSG00000159658.10	40.399	17.160	1.189	3.38e-91
EFCAB2	ENSG00000203666.12	20.355	9.620	1.008	2.96e-72
EFEMP1	ENSG00000115380.18	57.705	22.880	1.298	1.76e-35
EFNA1	ENSG00000169242.11	21.795	9.710	1.090	1.85e-36
EFNA5	ENSG00000184349.12	1.030	5.460	-1.670	2.39e-80
EFS	ENSG00000100842.12	46.505	9.410	2.190	1.34e-130
EFTUD1	ENSG00000140598.13	9.220	3.090	1.321	2.99e-177
EFTUD2	ENSG00000108883.12	57.025	25.610	1.125	1.05e-123
EGFL7	ENSG00000172889.15	21.250	76.061	-1.792	4.50e-108
EGFR	ENSG00000146648.15	49.131	3.990	3.329	3.61e-125
EGLN1	ENSG00000135766.8	26.405	10.290	1.279	1.35e-106
EGR1	ENSG00000120738.7	45.746	19.990	1.155	1.33e-16
EGR2	ENSG00000122877.13	4.855	1.120	1.466	1.87e-40
EGR3	ENSG00000179388.8	5.385	15.540	-1.373	4.11e-18
EGR4	ENSG00000135625.7	0.170	3.700	-2.006	9.42e-94
EHD1	ENSG00000110047.17	40.370	11.950	1.676	2.52e-154
EHD4	ENSG00000103966.9	5.495	1.770	1.229	3.86e-79
EIF1AX	ENSG00000173674.10	46.384	21.029	1.105	5.01e-93
EIF1AXP1	ENSG00000236698.1	3.425	0.570	1.495	2.09e-59
EIF2AK1	ENSG00000086232.12	60.410	28.050	1.080	2.41e-127
EIF2AK2	ENSG00000055332.16	12.835	4.870	1.237	1.30e-100
EIF2AK3	ENSG00000172071.11	11.130	3.950	1.293	6.81e-92
EIF2S3	ENSG00000130741.10	51.915	22.980	1.142	9.75e-114
EIF3A	ENSG00000107581.12	59.110	19.020	1.586	7.67e-126
EIF3B	ENSG00000106263.17	81.314	34.750	1.203	2.71e-140
EIF3D	ENSG00000100353.17	116.795	41.900	1.457	1.32e-168
EIF3E	ENSG00000104408.9	207.950	59.511	1.788	3.42e-160
EIF3F	ENSG00000175390.12	168.504	73.140	1.193	4.60e-121
EIF3FP3	ENSG00000233426.3	8.055	2.150	1.523	8.03e-64
EIF3G	ENSG00000130811.10	176.472	75.808	1.208	1.02e-138
EIF3H	ENSG00000147677.10	225.674	93.811	1.257	2.72e-122
EIF3J	ENSG00000104131.12	61.965	29.490	1.046	2.53e-105
EIF3L	ENSG00000100129.17	400.136	149.582	1.414	2.20e-109
EIF3M	ENSG00000149100.12	158.056	53.940	1.534	3.47e-158
EIF4A1	ENSG00000161960.14	369.991	109.136	1.752	3.42e-171
EIF4A3	ENSG00000141543.9	58.995	18.911	1.591	2.06e-202
EIF4B	ENSG00000063046.17	135.861	43.910	1.608	1.72e-124
EIF4BP7	ENSG00000225031.1	2.495	0.340	1.383	1.70e-157
EIF4E	ENSG00000151247.12	43.635	15.950	1.397	4.31e-93
EIF4E1B	ENSG00000175766.11	0.350	5.110	-2.178	1.02e-124
EIF4EBP1	ENSG00000187840.4	33.550	3.710	2.875	3.03e-202
EIF4EBP2	ENSG00000148730.6	31.675	13.540	1.168	2.15e-122
EIF4EBP3	ENSG00000243056.1	23.820	8.700	1.355	2.58e-95
EIF4EP2	ENSG00000229944.3	5.810	2.400	1.002	3.70e-44
EIF5A	ENSG00000132507.17	304.658	142.527	1.091	1.75e-141
EIF5AP4	ENSG00000234743.1	5.610	0.000	2.725	5.21e-270
ELAC1	ENSG00000141642.8	8.715	2.770	1.366	5.41e-202
ELAVL1	ENSG00000066044.13	30.759	9.840	1.551	1.03e-185
ELAVL2	ENSG00000107105.14	6.080	13.510	-1.035	3.41e-20
ELF1	ENSG00000120690.13	15.625	2.970	2.066	6.41e-157
ELK3	ENSG00000111145.7	7.195	1.630	1.640	4.21e-114
ELMOD1	ENSG00000110675.12	10.515	27.779	-1.321	8.71e-29
ELN	ENSG00000049540.16	28.365	7.790	1.740	2.93e-85
ELOVL1	ENSG00000066322.12	51.565	23.390	1.108	9.65e-36
ELOVL5	ENSG00000012660.13	72.509	22.210	1.663	6.06e-133
ELP4	ENSG00000109911.17	18.070	5.940	1.458	4.19e-172
EMC10	ENSG00000161671.16	133.509	52.290	1.336	7.94e-112
EMC8	ENSG00000131148.8	24.910	11.560	1.045	5.63e-161
EME1	ENSG00000154920.14	2.070	0.460	1.072	5.00e-70
EME2	ENSG00000197774.12	4.760	12.280	-1.205	3.12e-61
EMG1	ENSG00000126749.14	19.015	7.400	1.253	4.43e-158
EMILIN1	ENSG00000138080.13	8.730	3.030	1.272	4.78e-65
EML2	ENSG00000125746.14	22.040	47.811	-1.083	1.01e-50
EML3	ENSG00000149499.11	39.959	16.731	1.208	3.90e-87
EML6	ENSG00000214595.11	3.720	10.580	-1.295	6.24e-73
EMP1	ENSG00000134531.9	35.344	4.990	2.601	7.97e-67
EMX1	ENSG00000135638.13	0.865	26.020	-3.857	9.05e-133
EMX2OS	ENSG00000229847.8	3.490	13.290	-1.670	6.11e-62
ENAH	ENSG00000154380.16	52.815	9.410	2.370	2.97e-143
ENC1	ENSG00000171617.13	19.085	130.164	-2.707	2.57e-45
ENKUR	ENSG00000151023.16	13.320	4.420	1.402	4.44e-73
ENO2	ENSG00000111674.8	158.089	454.047	-1.516	1.83e-38
ENSAP2	ENSG00000259032.2	1.000	3.430	-1.147	3.70e-73
TSPAN6	ENSG00000000003.14	35.584	4.880	2.637	2.29e-230
GCLC	ENSG00000001084.10	35.150	11.120	1.577	3.96e-103
STPG1	ENSG00000001460.17	2.050	9.940	-1.843	6.89e-74
LAP3	ENSG00000002549.12	64.321	22.201	1.493	2.09e-99
HECW1	ENSG00000002746.14	2.285	7.000	-1.284	5.69e-35
KLHL13	ENSG00000003096.13	9.115	1.470	2.034	2.59e-173
ICA1	ENSG00000003147.17	8.780	32.231	-1.765	9.62e-78
TFPI	ENSG00000003436.14	3.610	1.070	1.155	3.88e-32
SARM1	ENSG00000004139.13	20.081	9.000	1.076	4.06e-97
RECQL	ENSG00000004700.15	10.995	3.080	1.556	2.94e-118
PDK4	ENSG00000004799.7	30.300	10.810	1.406	3.04e-26
SLC25A13	ENSG00000004864.13	10.950	3.290	1.478	1.81e-137
ST7	ENSG00000004866.18	29.135	12.190	1.192	8.61e-127
POLR2J	ENSG00000005075.15	110.667	45.490	1.264	3.81e-138
THSD7A	ENSG00000005108.15	3.825	1.110	1.193	4.08e-66
PRKAR2B	ENSG00000005249.12	8.100	20.019	-1.208	4.13e-47
SOX8	ENSG00000005513.9	328.886	22.279	3.825	1.38e-149
ZFX	ENSG00000005889.15	7.295	2.720	1.157	3.66e-108
LAMP2	ENSG00000005893.15	98.530	30.181	1.674	2.34e-124
ITGA2B	ENSG00000005961.17	1.070	3.940	-1.255	1.98e-72
TMEM98	ENSG00000006042.11	40.621	12.650	1.608	7.40e-76
YBX2	ENSG00000006047.12	0.470	3.050	-1.462	1.20e-128
TAC1	ENSG00000006128.11	2.825	11.570	-1.716	1.59e-19
TNFRSF12A	ENSG00000006327.13	7.970	1.250	1.995	7.78e-50
MAP3K9	ENSG00000006432.15	0.955	7.330	-2.091	3.84e-94
RALA	ENSG00000006451.7	37.625	14.370	1.329	2.91e-172
KDM7A	ENSG00000006459.10	4.960	1.830	1.075	1.46e-92
ETV1	ENSG00000006468.13	94.890	6.990	3.585	6.84e-156
USH1C	ENSG00000006611.15	25.605	2.290	3.016	2.88e-67
SCIN	ENSG00000006747.14	7.285	0.460	2.505	5.71e-71
GAS7	ENSG00000007237.18	32.324	66.629	-1.021	1.59e-22
MATK	ENSG00000007264.13	4.405	45.301	-3.099	2.25e-132
PSMB1	ENSG00000008018.8	165.902	80.181	1.040	2.68e-121
SYN1	ENSG00000008056.12	28.814	186.443	-2.652	1.51e-66
SYPL1	ENSG00000008282.7	49.181	13.630	1.778	4.66e-148
SPAG9	ENSG00000008294.20	90.876	33.490	1.414	3.47e-110
NFIX	ENSG00000008441.16	206.671	58.969	1.792	5.08e-132
IL32	ENSG00000008517.16	18.215	6.770	1.306	1.33e-34
PKD1	ENSG00000008710.17	53.149	179.581	-1.738	1.85e-70
MAPK8IP2	ENSG00000008735.13	36.111	116.613	-1.664	3.57e-70
RHOBTB2	ENSG00000008853.16	18.725	42.171	-1.130	3.74e-41
RPS20	ENSG00000008988.9	1425.941	468.855	1.603	8.44e-141
POMT2	ENSG00000009830.11	21.790	10.160	1.030	1.11e-98
VTA1	ENSG00000009844.15	35.720	14.710	1.225	5.08e-91
MLXIPL	ENSG00000009950.15	3.875	21.690	-2.219	3.47e-119
SPRTN	ENSG00000010072.15	5.670	1.770	1.268	6.69e-165
METTL13	ENSG00000010165.19	24.960	11.130	1.098	2.23e-155
STARD3NL	ENSG00000010270.13	56.995	21.280	1.380	8.85e-160
HHATL	ENSG00000010282.14	23.625	72.831	-1.584	1.60e-43
NCAPD2	ENSG00000010292.12	14.950	4.850	1.447	1.79e-113
STAB1	ENSG00000010327.10	26.295	7.780	1.636	3.28e-48
SLC6A13	ENSG00000010379.15	2.130	8.180	-1.552	3.02e-97
IDS	ENSG00000010404.17	72.675	229.586	-1.646	5.33e-53
PRSS3	ENSG00000010438.16	2.900	39.810	-3.387	9.59e-134
FYN	ENSG00000010810.17	290.078	87.117	1.724	4.35e-166
TCEB3	ENSG00000011007.12	15.600	6.290	1.187	3.50e-130
MRC2	ENSG00000011028.13	14.550	3.020	1.952	2.03e-99
NME2	ENSG00000011052.21	59.690	17.030	1.751	9.80e-125
SLC6A7	ENSG00000011083.8	0.355	25.779	-4.305	1.97e-148
MBTD1	ENSG00000011258.15	8.440	3.030	1.228	1.87e-101
RNF216	ENSG00000011275.18	23.125	9.790	1.161	1.21e-139
PTBP1	ENSG00000011304.16	65.691	19.981	1.668	1.81e-154
SYT7	ENSG00000011347.9	5.175	57.181	-3.236	1.37e-75
PIK3C2A	ENSG00000011405.13	14.645	6.220	1.116	3.44e-73
TYROBP	ENSG00000011600.11	121.019	11.800	3.253	1.62e-151
MBTPS2	ENSG00000012174.11	9.890	2.900	1.481	7.44e-122
MVP	ENSG00000013364.18	26.335	12.290	1.040	3.46e-42
NUB1	ENSG00000013374.15	40.075	18.890	1.046	2.63e-115
PGM3	ENSG00000013375.15	18.495	7.090	1.269	1.74e-99
UFL1	ENSG00000014123.9	14.125	5.080	1.315	1.65e-124
MDH1	ENSG00000014641.17	152.656	454.141	-1.567	1.11e-60
YAF2	ENSG00000015153.14	28.594	11.680	1.223	3.64e-98
WAS	ENSG00000015285.10	9.610	1.840	1.901	3.23e-117
SLC38A5	ENSG00000017483.14	58.458	16.381	1.774	8.82e-129
SLC11A1	ENSG00000018280.16	6.710	2.380	1.190	1.43e-13
WWTR1	ENSG00000018408.14	16.180	4.700	1.592	2.80e-50
TTC27	ENSG00000018699.11	6.645	2.030	1.335	5.77e-188
SYT13	ENSG00000019505.7	3.705	33.070	-2.856	2.73e-65
NCDN	ENSG00000020129.15	41.705	308.215	-2.856	3.27e-84
SAMD4A	ENSG00000020577.13	14.725	6.250	1.117	1.45e-44
SPAST	ENSG00000021574.11	12.620	5.050	1.171	1.09e-131
NRXN3	ENSG00000021645.17	5.095	18.410	-1.671	2.77e-35
FHL1	ENSG00000022267.16	256.336	97.802	1.381	2.23e-108
GABRA1	ENSG00000022355.14	2.605	37.851	-3.430	1.62e-69
SLC45A4	ENSG00000022567.9	3.955	12.300	-1.424	2.10e-75
RNH1	ENSG00000023191.16	116.387	51.299	1.166	1.27e-115
ERP44	ENSG00000023318.7	10.465	4.560	1.044	2.21e-136
SNAPC1	ENSG00000023608.4	5.075	1.710	1.165	1.37e-143
RRAGD	ENSG00000025039.14	29.645	8.470	1.694	1.10e-144
PHF20	ENSG00000025293.15	23.525	10.630	1.076	4.04e-135
SEC63	ENSG00000025796.13	39.255	18.880	1.018	1.10e-124
VIM	ENSG00000026025.13	488.172	145.240	1.742	1.24e-39
RNASET2	ENSG00000026297.15	84.679	30.619	1.438	8.12e-73
KCNG1	ENSG00000026559.13	2.270	7.770	-1.423	1.64e-23
IFNGR1	ENSG00000027697.12	62.741	17.530	1.782	3.94e-153
TNFRSF1B	ENSG00000028137.16	11.110	2.600	1.750	1.24e-74
SNX1	ENSG00000028528.14	63.256	24.281	1.346	9.59e-128
SLC39A9	ENSG00000029364.11	28.565	11.740	1.215	3.63e-130
HMGB3	ENSG00000029993.14	35.400	12.340	1.448	6.35e-98
NUP160	ENSG00000030066.13	12.630	3.750	1.521	6.08e-133
GRN	ENSG00000030582.16	94.933	25.080	1.879	2.18e-167
LRRC7	ENSG00000033122.18	2.265	16.260	-2.402	1.72e-104
GAB2	ENSG00000033327.12	28.080	12.160	1.144	1.68e-54
RNF19A	ENSG00000034677.11	38.695	14.800	1.329	3.12e-48
TIMP2	ENSG00000035862.12	226.449	68.850	1.703	3.23e-155
RFC1	ENSG00000035928.14	27.445	10.940	1.252	7.67e-126
RPL26L1	ENSG00000037241.7	49.740	22.760	1.095	5.83e-136
MFAP3	ENSG00000037749.11	9.505	3.710	1.157	1.03e-42
METTL1	ENSG00000037897.16	17.010	6.920	1.185	9.45e-79
VCAN	ENSG00000038427.15	94.686	6.910	3.597	3.69e-206
MSR1	ENSG00000038945.14	4.700	0.320	2.110	1.02e-72
RAI14	ENSG00000039560.13	5.625	2.030	1.129	4.99e-85
SPDL1	ENSG00000040275.16	7.680	3.230	1.037	5.89e-84
RTN4R	ENSG00000040608.13	8.055	41.291	-2.224	3.91e-77
TNC	ENSG00000041982.14	35.966	0.800	4.360	6.44e-175
MED17	ENSG00000042429.10	22.601	9.540	1.163	3.92e-95
HSPA5	ENSG00000044574.7	116.121	42.440	1.431	2.56e-97
GPM6B	ENSG00000046653.14	623.912	204.349	1.606	1.89e-102
FAM214A	ENSG00000047346.12	24.720	11.220	1.074	2.38e-78
TPR	ENSG00000047410.13	34.015	12.690	1.355	2.33e-168
XK	ENSG00000047597.5	0.395	2.250	-1.220	6.97e-47
RRM2B	ENSG00000048392.11	14.455	6.240	1.094	2.97e-87
ZNF800	ENSG00000048405.9	8.960	2.860	1.368	2.81e-133
SNX29	ENSG00000048471.13	8.290	3.440	1.065	3.89e-118
GUCA1A	ENSG00000048545.13	0.090	1.190	-1.007	2.97e-73
RSF1	ENSG00000048649.13	20.460	5.790	1.660	2.63e-114
FAM120A	ENSG00000048828.16	35.530	16.210	1.086	2.48e-118
R3HDM1	ENSG00000048991.16	16.840	61.571	-1.810	1.70e-87
